source_accord,target_accord,color_name,hex,description
Woody,Sweet,Cedar Blush,#C08473,우디와 스위트 무드를 함께 표현하는 Cedar Blush 컬러입니다.
Woody,Gourmand,Cedar Caramel,#A77144,우디와 구르망 무드를 함께 표현하는 Cedar Caramel 컬러입니다.
Woody,Musky,Cedar Skin,#B59275,우디와 머스키 무드를 함께 표현하는 Cedar Skin 컬러입니다.
Woody,Green,Cedar Leaf,#918952,우디와 그린 무드를 함께 표현하는 Cedar Leaf 컬러입니다.
Woody,Citrus,Cedar Zest,#C29245,우디와 시트러스 무드를 함께 표현하는 Cedar Zest 컬러입니다.
Woody,Fruity,Cedar Orchard,#BF734D,우디와 프루티 무드를 함께 표현하는 Cedar Orchard 컬러입니다.
Woody,Aromatic,Cedar Herb,#8F846A,우디와 아로마틱 무드를 함께 표현하는 Cedar Herb 컬러입니다.
Woody,Earthy/Smoky,Cedar Smoke,#896446,우디와 어시/스모키 무드를 함께 표현하는 Cedar Smoke 컬러입니다.
Fresh,Floral,Mist Bloom,#B4C3CE,프레시와 플로럴 무드를 함께 표현하는 Mist Bloom 컬러입니다.
Fresh,Woody,Mist Cedar,#94AA96,프레시와 우디 무드를 함께 표현하는 Mist Cedar 컬러입니다.
Fresh,Fresh,Mist Mist,#8FD7D2,프레시와 프레시 무드를 함께 표현하는 Mist Mist 컬러입니다.
Fresh,Spicy,Mist Ember,#A5A392,프레시와 스파이시 무드를 함께 표현하는 Mist Ember 컬러입니다.
Fresh,Sweet,Mist Blush,#B9C3C6,프레시와 스위트 무드를 함께 표현하는 Mist Blush 컬러입니다.
Fresh,Gourmand,Mist Caramel,#A0B097,프레시와 구르망 무드를 함께 표현하는 Mist Caramel 컬러입니다.
Fresh,Musky,Mist Skin,#AED1C8,프레시와 머스키 무드를 함께 표현하는 Mist Skin 컬러입니다.
Fresh,Green,Mist Leaf,#8AC8A5,프레시와 그린 무드를 함께 표현하는 Mist Leaf 컬러입니다.
Fresh,Citrus,Mist Zest,#BBD198,프레시와 시트러스 무드를 함께 표현하는 Mist Zest 컬러입니다.
Fresh,Fruity,Mist Orchard,#B8B2A0,프레시와 프루티 무드를 함께 표현하는 Mist Orchard 컬러입니다.
Fresh,Aromatic,Mist Herb,#88C2BD,프레시와 아로마틱 무드를 함께 표현하는 Mist Herb 컬러입니다.
Fresh,Earthy/Smoky,Mist Smoke,#82A399,프레시와 어시/스모키 무드를 함께 표현하는 Mist Smoke 컬러입니다.
Spicy,Floral,Ember Bloom,#D37A76,스파이시와 플로럴 무드를 함께 표현하는 Ember Bloom 컬러입니다.
Spicy,Woody,Ember Cedar,#B3613E,스파이시와 우디 무드를 함께 표현하는 Ember Cedar 컬러입니다.
Spicy,Fresh,Ember Mist,#AE8F7A,스파이시와 프레시 무드를 함께 표현하는 Ember Mist 컬러입니다.
Spicy,Spicy,Ember Ember,#C45A3A,스파이시와 스파이시 무드를 함께 표현하는 Ember Ember 컬러입니다.
Spicy,Sweet,Ember Blush,#D77A6E,스파이시와 스위트 무드를 함께 표현하는 Ember Blush 컬러입니다.
Spicy,Gourmand,Ember Caramel,#BF673F,스파이시와 구르망 무드를 함께 표현하는 Ember Caramel 컬러입니다.
Spicy,Musky,Ember Skin,#CC8970,스파이시와 머스키 무드를 함께 표현하는 Ember Skin 컬러입니다.
Spicy,Green,Ember Leaf,#A87F4C,스파이시와 그린 무드를 함께 표현하는 Ember Leaf 컬러입니다.
Spicy,Citrus,Ember Zest,#D98940,스파이시와 시트러스 무드를 함께 표현하는 Ember Zest 컬러입니다.
Spicy,Fruity,Ember Orchard,#D66A47,스파이시와 프루티 무드를 함께 표현하는 Ember Orchard 컬러입니다.
Spicy,Aromatic,Ember Herb,#A77A65,스파이시와 아로마틱 무드를 함께 표현하는 Ember Herb 컬러입니다.
Spicy,Earthy/Smoky,Ember Smoke,#A05A41,스파이시와 어시/스모키 무드를 함께 표현하는 Ember Smoke 컬러입니다.
Sweet,Floral,Blush Bloom,#EEA7BD,스위트와 플로럴 무드를 함께 표현하는 Blush Bloom 컬러입니다.
Sweet,Woody,Blush Cedar,#CD8E85,스위트와 우디 무드를 함께 표현하는 Blush Cedar 컬러입니다.
Sweet,Fresh,Blush Mist,#C8BBC1,스위트와 프레시 무드를 함께 표현하는 Blush Mist 컬러입니다.
Sweet,Spicy,Blush Ember,#DF8781,스위트와 스파이시 무드를 함께 표현하는 Blush Ember 컬러입니다.
Sweet,Sweet,Blush Blush,#F2A7B5,스위트와 스위트 무드를 함께 표현하는 Blush Blush 컬러입니다.
Sweet,Gourmand,Blush Caramel,#D99486,스위트와 구르망 무드를 함께 표현하는 Blush Caramel 컬러입니다.
Sweet,Musky,Blush Skin,#E7B5B7,스위트와 머스키 무드를 함께 표현하는 Blush Skin 컬러입니다.
Sweet,Green,Blush Leaf,#C3AC94,스위트와 그린 무드를 함께 표현하는 Blush Leaf 컬러입니다.
Sweet,Citrus,Blush Zest,#F4B587,스위트와 시트러스 무드를 함께 표현하는 Blush Zest 컬러입니다.
Sweet,Fruity,Blush Orchard,#F1968F,스위트와 프루티 무드를 함께 표현하는 Blush Orchard 컬러입니다.
Sweet,Aromatic,Blush Herb,#C1A7AD,스위트와 아로마틱 무드를 함께 표현하는 Blush Herb 컬러입니다.
Sweet,Earthy/Smoky,Blush Smoke,#BB8788,스위트와 어시/스모키 무드를 함께 표현하는 Blush Smoke 컬러입니다.
Gourmand,Floral,Caramel Bloom,#CC8C7C,구르망와 플로럴 무드를 함께 표현하는 Caramel Bloom 컬러입니다.
Gourmand,Woody,Caramel Cedar,#AB7344,구르망와 우디 무드를 함께 표현하는 Caramel Cedar 컬러입니다.
Gourmand,Fresh,Caramel Mist,#A6A080,구르망와 프레시 무드를 함께 표현하는 Caramel Mist 컬러입니다.
Gourmand,Spicy,Caramel Ember,#BC6C40,구르망와 스파이시 무드를 함께 표현하는 Caramel Ember 컬러입니다.
Gourmand,Sweet,Caramel Blush,#D08C74,구르망와 스위트 무드를 함께 표현하는 Caramel Blush 컬러입니다.
Gourmand,Gourmand,Caramel Caramel,#B77945,구르망와 구르망 무드를 함께 표현하는 Caramel Caramel 컬러입니다.
Gourmand,Musky,Caramel Skin,#C59B76,구르망와 머스키 무드를 함께 표현하는 Caramel Skin 컬러입니다.
Gourmand,Green,Caramel Leaf,#A19153,구르망와 그린 무드를 함께 표현하는 Caramel Leaf 컬러입니다.
Gourmand,Citrus,Caramel Zest,#D29B46,구르망와 시트러스 무드를 함께 표현하는 Caramel Zest 컬러입니다.
Gourmand,Fruity,Caramel Orchard,#CF7C4E,구르망와 프루티 무드를 함께 표현하는 Caramel Orchard 컬러입니다.
Gourmand,Aromatic,Caramel Herb,#9F8C6C,구르망와 아로마틱 무드를 함께 표현하는 Caramel Herb 컬러입니다.
Gourmand,Earthy/Smoky,Caramel Smoke,#996C47,구르망와 어시/스모키 무드를 함께 표현하는 Caramel Smoke 컬러입니다.
Musky,Floral,Skin Bloom,#DFBBC0,머스키와 플로럴 무드를 함께 표현하는 Skin Bloom 컬러입니다.
Musky,Woody,Skin Cedar,#BEA288,머스키와 우디 무드를 함께 표현하는 Skin Cedar 컬러입니다.
Musky,Fresh,Skin Mist,#B9CFC4,머스키와 프레시 무드를 함께 표현하는 Skin Mist 컬러입니다.
Musky,Spicy,Skin Ember,#D09A84,머스키와 스파이시 무드를 함께 표현하는 Skin Ember 컬러입니다.
Musky,Sweet,Skin Blush,#E3BBB8,머스키와 스위트 무드를 함께 표현하는 Skin Blush 컬러입니다.
Musky,Gourmand,Skin Caramel,#CAA789,머스키와 구르망 무드를 함께 표현하는 Skin Caramel 컬러입니다.
Musky,Musky,Skin Skin,#D8C9BA,머스키와 머스키 무드를 함께 표현하는 Skin Skin 컬러입니다.
Musky,Green,Skin Leaf,#B4C097,머스키와 그린 무드를 함께 표현하는 Skin Leaf 컬러입니다.
Musky,Citrus,Skin Zest,#E5C98A,머스키와 시트러스 무드를 함께 표현하는 Skin Zest 컬러입니다.
Musky,Fruity,Skin Orchard,#E2AA92,머스키와 프루티 무드를 함께 표현하는 Skin Orchard 컬러입니다.
Musky,Aromatic,Skin Herb,#B2BAB0,머스키와 아로마틱 무드를 함께 표현하는 Skin Herb 컬러입니다.
Musky,Earthy/Smoky,Skin Smoke,#AC9A8B,머스키와 어시/스모키 무드를 함께 표현하는 Skin Smoke 컬러입니다.
Green,Floral,Leaf Bloom,#ADAE8F,그린와 플로럴 무드를 함께 표현하는 Leaf Bloom 컬러입니다.
Green,Woody,Leaf Cedar,#8D9557,그린와 우디 무드를 함께 표현하는 Leaf Cedar 컬러입니다.
Green,Fresh,Leaf Mist,#87C293,그린와 프레시 무드를 함께 표현하는 Leaf Mist 컬러입니다.
Green,Spicy,Leaf Ember,#9E8E54,그린와 스파이시 무드를 함께 표현하는 Leaf Ember 컬러입니다.
Green,Sweet,Leaf Blush,#B1AE87,그린와 스위트 무드를 함께 표현하는 Leaf Blush 컬러입니다.
Green,Gourmand,Leaf Caramel,#989B58,그린와 구르망 무드를 함께 표현하는 Leaf Caramel 컬러입니다.
Green,Musky,Leaf Skin,#A6BC89,그린와 머스키 무드를 함께 표현하는 Leaf Skin 컬러입니다.
Green,Green,Leaf Leaf,#82B366,그린와 그린 무드를 함께 표현하는 Leaf Leaf 컬러입니다.
Green,Citrus,Leaf Zest,#B3BC59,그린와 시트러스 무드를 함께 표현하는 Leaf Zest 컬러입니다.
Green,Fruity,Leaf Orchard,#B09D61,그린와 프루티 무드를 함께 표현하는 Leaf Orchard 컬러입니다.
Green,Aromatic,Leaf Herb,#80AE7F,그린와 아로마틱 무드를 함께 표현하는 Leaf Herb 컬러입니다.
Green,Earthy/Smoky,Leaf Smoke,#7A8E5A,그린와 어시/스모키 무드를 함께 표현하는 Leaf Smoke 컬러입니다.
Citrus,Floral,Zest Bloom,#F1BB7E,시트러스와 플로럴 무드를 함께 표현하는 Zest Bloom 컬러입니다.
Citrus,Woody,Zest Cedar,#D0A246,시트러스와 우디 무드를 함께 표현하는 Zest Cedar 컬러입니다.
Citrus,Fresh,Zest Mist,#CBCF82,시트러스와 프레시 무드를 함께 표현하는 Zest Mist 컬러입니다.
Citrus,Spicy,Zest Ember,#E29A42,시트러스와 스파이시 무드를 함께 표현하는 Zest Ember 컬러입니다.
Citrus,Sweet,Zest Blush,#F5BB76,시트러스와 스위트 무드를 함께 표현하는 Zest Blush 컬러입니다.
Citrus,Gourmand,Zest Caramel,#DCA747,시트러스와 구르망 무드를 함께 표현하는 Zest Caramel 컬러입니다.
Citrus,Musky,Zest Skin,#EAC978,시트러스와 머스키 무드를 함께 표현하는 Zest Skin 컬러입니다.
Citrus,Green,Zest Leaf,#C6C055,시트러스와 그린 무드를 함께 표현하는 Zest Leaf 컬러입니다.
Citrus,Citrus,Zest Zest,#F7C948,시트러스와 시트러스 무드를 함께 표현하는 Zest Zest 컬러입니다.
Citrus,Fruity,Zest Orchard,#F4AA50,시트러스와 프루티 무드를 함께 표현하는 Zest Orchard 컬러입니다.
Citrus,Aromatic,Zest Herb,#C4BA6D,시트러스와 아로마틱 무드를 함께 표현하는 Zest Herb 컬러입니다.
Citrus,Earthy/Smoky,Zest Smoke,#BE9A49,시트러스와 어시/스모키 무드를 함께 표현하는 Zest Smoke 컬러입니다.
Fruity,Floral,Orchard Bloom,#ED9088,프루티와 플로럴 무드를 함께 표현하는 Orchard Bloom 컬러입니다.
Fruity,Woody,Orchard Cedar,#CC7750,프루티와 우디 무드를 함께 표현하는 Orchard Cedar 컬러입니다.
Fruity,Fresh,Orchard Mist,#C7A48C,프루티와 프레시 무드를 함께 표현하는 Orchard Mist 컬러입니다.
Fruity,Spicy,Orchard Ember,#DE6F4D,프루티와 스파이시 무드를 함께 표현하는 Orchard Ember 컬러입니다.
Fruity,Sweet,Orchard Blush,#F19080,프루티와 스위트 무드를 함께 표현하는 Orchard Blush 컬러입니다.
Fruity,Gourmand,Orchard Caramel,#D87C51,프루티와 구르망 무드를 함께 표현하는 Orchard Caramel 컬러입니다.
Fruity,Musky,Orchard Skin,#E69E82,프루티와 머스키 무드를 함께 표현하는 Orchard Skin 컬러입니다.
Fruity,Green,Orchard Leaf,#C2955F,프루티와 그린 무드를 함께 표현하는 Orchard Leaf 컬러입니다.
Fruity,Citrus,Orchard Zest,#F39E52,프루티와 시트러스 무드를 함께 표현하는 Orchard Zest 컬러입니다.
Fruity,Fruity,Orchard Orchard,#F07F5A,프루티와 프루티 무드를 함께 표현하는 Orchard Orchard 컬러입니다.
Fruity,Aromatic,Orchard Herb,#C08F78,프루티와 아로마틱 무드를 함께 표현하는 Orchard Herb 컬러입니다.
Fruity,Earthy/Smoky,Orchard Smoke,#BA6F53,프루티와 어시/스모키 무드를 함께 표현하는 Orchard Smoke 컬러입니다.
Aromatic,Floral,Herb Bloom,#ABA6B1,아로마틱와 플로럴 무드를 함께 표현하는 Herb Bloom 컬러입니다.
Aromatic,Woody,Herb Cedar,#8A8D7A,아로마틱와 우디 무드를 함께 표현하는 Herb Cedar 컬러입니다.
Aromatic,Fresh,Herb Mist,#85BBB6,아로마틱와 프레시 무드를 함께 표현하는 Herb Mist 컬러입니다.
Aromatic,Spicy,Herb Ember,#9B8676,아로마틱와 스파이시 무드를 함께 표현하는 Herb Ember 컬러입니다.
Aromatic,Sweet,Herb Blush,#AFA6A9,아로마틱와 스위트 무드를 함께 표현하는 Herb Blush 컬러입니다.
Aromatic,Gourmand,Herb Caramel,#96937A,아로마틱와 구르망 무드를 함께 표현하는 Herb Caramel 컬러입니다.
Aromatic,Musky,Herb Skin,#A4B5AC,아로마틱와 머스키 무드를 함께 표현하는 Herb Skin 컬러입니다.
Aromatic,Green,Herb Leaf,#80AB88,아로마틱와 그린 무드를 함께 표현하는 Herb Leaf 컬러입니다.
Aromatic,Citrus,Herb Zest,#B1B57C,아로마틱와 시트러스 무드를 함께 표현하는 Herb Zest 컬러입니다.
Aromatic,Fruity,Herb Orchard,#AE9683,아로마틱와 프루티 무드를 함께 표현하는 Herb Orchard 컬러입니다.
Aromatic,Aromatic,Herb Herb,#7EA6A1,아로마틱와 아로마틱 무드를 함께 표현하는 Herb Herb 컬러입니다.
Aromatic,Earthy/Smoky,Herb Smoke,#78867C,아로마틱와 어시/스모키 무드를 함께 표현하는 Herb Smoke 컬러입니다.
Earthy/Smoky,Floral,Smoke Bloom,#A27A7F,어시/스모키와 플로럴 무드를 함께 표현하는 Smoke Bloom 컬러입니다.
Earthy/Smoky,Woody,Smoke Cedar,#816147,어시/스모키와 우디 무드를 함께 표현하는 Smoke Cedar 컬러입니다.
Earthy/Smoky,Fresh,Smoke Mist,#7C8F83,어시/스모키와 프레시 무드를 함께 표현하는 Smoke Mist 컬러입니다.
Earthy/Smoky,Spicy,Smoke Ember,#935A43,어시/스모키와 스파이시 무드를 함께 표현하는 Smoke Ember 컬러입니다.
Earthy/Smoky,Sweet,Smoke Blush,#A67A77,어시/스모키와 스위트 무드를 함께 표현하는 Smoke Blush 컬러입니다.
Earthy/Smoky,Gourmand,Smoke Caramel,#8D6748,어시/스모키와 구르망 무드를 함께 표현하는 Smoke Caramel 컬러입니다.
Earthy/Smoky,Musky,Smoke Skin,#9B8979,어시/스모키와 머스키 무드를 함께 표현하는 Smoke Skin 컬러입니다.
Earthy/Smoky,Green,Smoke Leaf,#777F56,어시/스모키와 그린 무드를 함께 표현하는 Smoke Leaf 컬러입니다.
Earthy/Smoky,Citrus,Smoke Zest,#A88949,어시/스모키와 시트러스 무드를 함께 표현하는 Smoke Zest 컬러입니다.
Earthy/Smoky,Fruity,Smoke Orchard,#A56A51,어시/스모키와 프루티 무드를 함께 표현하는 Smoke Orchard 컬러입니다.
Earthy/Smoky,Aromatic,Smoke Herb,#757A6F,어시/스모키와 아로마틱 무드를 함께 표현하는 Smoke Herb 컬러입니다.
Earthy/Smoky,Earthy/Smoky,Smoke Smoke,#6F5A4A,어시/스모키와 어시/스모키 무드를 함께 표현하는 Smoke Smoke 컬러입니다.
