향수ID,향수명,브랜드명,성별,이미지URL,향_설명
97106,Chelsea Morning,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.97106.webp,"포근한 단맛과 낮은 나무빛이 만나 편안하지만 쉽게 잊히지 않는 인상을 남기는 향수입니다. 둥근 단맛, 밝은 시트러스, 바닐라의 온기와 대비가 선명하지만, 전체 분위기는 피부 위에서 부드럽게 정리됩니다.

토피의 버터리한 단맛과 데운 설탕의 색감, 레몬의 상큼한 산미와 깨끗한 윤곽, 통카빈의 고소한 단맛과 부드러운 그림자가 부드럽게 어우러져 향의 표정을 만듭니다. 페뉴그릭은 그 표정을 한층 섬세하게 다듬습니다.

차가운 계절에는 포근하게, 실내에서는 은근한 잔향으로 느껴집니다. 단맛을 선명하게 즐기고 싶지만 향이 답답해지는 것은 피하고 싶을 때 잘 맞습니다.

레이어링을 할 때는 베르가못 코롱을 먼저 더하면 단맛이 한층 밝아집니다. 시더우드나 베티버를 아주 적게 곁들이면 포근함 안에 건조한 깊이가 생깁니다."
58865,Snow Fairy,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.58865.webp,"포근한 단맛과 낮은 나무빛이 만나 편안하지만 쉽게 잊히지 않는 인상을 남기는 향수입니다. 연말 조명 아래 반짝이는 달콤함을 바탕에 두고, 피부 위에서는 코튼 캔디와 스위트 노트의 인상이 자연스럽게 번집니다.

코튼 캔디와 스위트 노트가 먼저 향의 표정을 열고, 체리, 바닐라 쪽으로 질감이 이어집니다. 마지막에는 배가 잔향을 부드럽게 붙잡습니다.

달콤하지만 지나치게 어린 인상으로 흐르지 않아 니트, 코트, 부드러운 셔츠와 잘 어울립니다. 가까운 거리에서 따뜻한 인상이 살아나는 타입입니다.

레이어링을 할 때는 네롤리나 만다린처럼 밝은 시트러스가 잘 맞습니다. 앰버를 더하면 잔향이 더 따뜻하고 둥글게 이어집니다."
63243,Rose Jam 2019,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.63243.webp,"꽃을 장식처럼 얹기보다, 꽃잎의 결감과 온도를 가까이 가져오는 향수입니다. 터키시 로즈와 로즈 오일의 인상이 중심에 있고, 주변으로 둥근 단맛, 맑은 과즙감이 은근하게 번집니다.

터키시 로즈의 농밀한 장미빛과 부드러운 산미, 로즈 오일의 매끈한 꽃 윤기, 레몬의 상큼한 산미와 깨끗한 윤곽이 부드럽게 어우러져 향의 표정을 만듭니다. 스파이스는 그 표정을 한층 섬세하게 다듬습니다.

셔츠, 실크 블라우스, 단정한 니트처럼 질감이 있는 옷차림과 잘 어울립니다. 향이 직선적으로 튀기보다 둥근 곡선을 남깁니다.

레이어링을 할 때는 바이올렛이나 아이리스가 잘 맞습니다. 꽃의 화사함이 보송하게 정리되고, 머스크를 더하면 잔향이 피부에 더 부드럽게 붙습니다."
57035,Twilight Body Spray,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.57035.webp,"막 씻은 셔츠처럼 깨끗하게 열리지만, 단순한 산뜻함에 머물지 않는 향수입니다. 라벤더의 보랏빛, 낮은 앰버빛, 바닐라의 온기와 대비가 선명하지만, 전체 분위기는 피부 위에서 부드럽게 정리됩니다.

라벤더의 보랏빛 청결감과 허브의 안정감, 통카빈의 고소한 단맛과 부드러운 그림자, 벤조인의 달콤한 수지 온기와 매끈한 깊이가 부드럽게 어우러져 향의 표정을 만듭니다. 일랑일랑은 그 표정을 한층 섬세하게 다듬습니다.

매일 쓰기 쉬운 청결감이 있지만, 허브와 나무결 덕분에 평면적으로 느껴지지 않습니다. 출근길부터 가벼운 저녁 자리까지 폭이 넓습니다.

레이어링을 할 때는 그린 티, 네롤리, 자몽이 잘 맞습니다. 허브의 쓴맛이 밝아지고 전체 인상이 더 투명하게 열립니다."
26630,Death and Decay,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.26630.webp?t=1773280399,"꽃의 색을 선명하게 보여주면서도 과한 장식감 없이 부드러운 곡선을 남기는 향수입니다. 원문이 떠올리게 하는 분위기는 고요한 의식처럼 맑고 깊은 흰 꽃의 분위기에 가깝습니다. 실제 착향에서는 크리미한 흰 꽃, 노란 꽃의 윤기 방향으로 차분하게 풀립니다.

일랑일랑과 재스민이 먼저 향의 표정을 열고, 통카빈, 로즈 쪽으로 질감이 이어집니다. 재료가 따로 튀기보다 하나의 분위기로 부드럽게 이어집니다.

꽃향이 필요 이상으로 꾸며지지 않아 일상적인 옷차림에도 잘 스며듭니다. 가까운 거리에서 꽃잎의 질감이 더 섬세하게 느껴집니다.

레이어링을 할 때는 샌달우드가 꽃의 질감을 더 크리미하게 만들어 줍니다. 시트러스 코롱을 곁들이면 전체 인상이 한층 맑아집니다."
88991,Super Milk,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.88991.webp,"포근한 단맛과 낮은 나무빛이 만나 편안하지만 쉽게 잊히지 않는 인상을 남기는 향수입니다. 바닐라의 온기, 밝은 시트러스, 둥근 단맛의 대비가 선명하지만, 전체 분위기는 피부 위에서 부드럽게 정리됩니다.

리치아 쿠베바와 바닐라가 먼저 향의 표정을 열고, 통카빈 쪽으로 질감이 이어집니다. 재료가 따로 튀기보다 하나의 분위기로 부드럽게 이어집니다.

달콤하지만 지나치게 어린 인상으로 흐르지 않아 니트, 코트, 부드러운 셔츠와 잘 어울립니다. 가까운 거리에서 따뜻한 인상이 살아나는 타입입니다.

레이어링을 할 때는 베르가못 코롱을 먼저 더하면 단맛이 한층 밝아집니다. 시더우드나 베티버를 아주 적게 곁들이면 포근함 안에 건조한 깊이가 생깁니다."
62550,Honey I Washed The Kids,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.62550.webp,"단맛을 크게 부풀리기보다, 데운 설탕과 크림 같은 온도를 피부 위에 부드럽게 펼치는 향수입니다. 둥근 단맛, 캐러멜의 윤기, 허니의 황금빛 대비가 선명하지만, 전체 분위기는 피부 위에서 부드럽게 정리됩니다.

토피와 허니가 먼저 향의 표정을 열고, 바닐라, 브라질리언 오렌지 쪽으로 질감이 이어집니다. 마지막에는 베르가못이 잔향을 부드럽게 붙잡습니다.

차가운 계절에는 포근하게, 실내에서는 은근한 잔향으로 느껴집니다. 단맛을 선명하게 즐기고 싶지만 향이 답답해지는 것은 피하고 싶을 때 잘 맞습니다.

레이어링을 할 때는 네롤리나 만다린처럼 밝은 시트러스가 잘 맞습니다. 앰버를 더하면 잔향이 더 따뜻하고 둥글게 이어집니다."
46804,Cardamom Coffee,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.46804.webp,"따뜻하지만 무겁게 잠기지 않고, 앰버빛 온기와 향신료의 입자가 부드럽게 이어지는 향수입니다. 원문이 떠올리게 하는 분위기는 차가운 가을 공기와 따뜻한 컵 사이의 대비에 가깝습니다. 실제 착향에서는 따뜻한 향신료, 커피의 쌉싸래함 방향으로 차분하게 풀립니다.

카다멈의 초록빛 열감과 세련된 스파이스, 커피의 볶은 원두의 쌉싸래한 어둠, 우드의 짙은 목재와 수지의 어두운 울림이 부드럽게 어우러져 향의 표정을 만듭니다. 올리브 트리는 그 표정을 한층 섬세하게 다듬습니다.

포근하지만 단정한 분위기를 만들기 좋아 계절감 있는 옷차림과 잘 어울립니다. 잔향은 낮게 깔리며 오래 이어집니다.

레이어링을 할 때는 샌달우드와 만나면 온기가 더 부드러워집니다. 스파이스를 더하고 싶다면 카다멈처럼 초록빛이 있는 재료가 자연스럽습니다."
57036,Rose Jam Body Spray,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.57036.webp,"꽃을 장식처럼 얹기보다, 꽃잎의 결감과 온도를 가까이 가져오는 향수입니다. 다마스크 로즈, 시칠리안 레몬, 제라늄에서 출발해 장미의 결, 허브의 숨결, 밝은 시트러스 사이를 자연스럽게 오갑니다.

다마스크 로즈의 붉은 꽃잎감, 시칠리안 레몬의 밝고 마른 레몬 껍질의 청량감, 제라늄의 장미빛 허브감과 푸른 잎의 산뜻함이 부드럽게 어우러져 향의 표정을 만듭니다. 통카빈은 그 표정을 한층 섬세하게 다듬습니다.

꽃향이 필요 이상으로 꾸며지지 않아 일상적인 옷차림에도 잘 스며듭니다. 가까운 거리에서 꽃잎의 질감이 더 섬세하게 느껴집니다.

레이어링을 할 때는 화이트 머스크가 꽃의 윤곽을 깨끗하게 정리합니다. 베르가못이나 그린 티를 더하면 꽃잎 사이에 밝은 공기가 생깁니다."
17617,Sikkim Girls,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.17617.webp,"꽃을 장식처럼 얹기보다, 꽃잎의 결감과 온도를 가까이 가져오는 향수입니다. 원문이 떠올리게 하는 분위기는 느리게 흔들리는 꽃의 관능적인 그림자에 가깝습니다. 실제 착향에서는 크리미한 흰 꽃, 꽃잎의 볼륨 방향으로 차분하게 풀립니다.

프랜지파니와 튜베로즈가 먼저 향의 표정을 열고, 재스민, 바닐라 쪽으로 질감이 이어집니다. 재료가 따로 튀기보다 하나의 분위기로 부드럽게 이어집니다.

꽃향이 필요 이상으로 꾸며지지 않아 일상적인 옷차림에도 잘 스며듭니다. 가까운 거리에서 꽃잎의 질감이 더 섬세하게 느껴집니다.

레이어링을 할 때는 샌달우드가 꽃의 질감을 더 크리미하게 만들어 줍니다. 시트러스 코롱을 곁들이면 전체 인상이 한층 맑아집니다."
13718,The Smell of Weather Turning,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.13718.webp,"막 씻은 셔츠처럼 깨끗하게 열리지만, 단순한 산뜻함에 머물지 않는 향수입니다. 건초, 민트, Chamomile에서 출발해 초록빛 생기, 허브의 숨결, 허브의 씁쓸함 사이를 자연스럽게 오갑니다.

건초의 마른 햇빛과 들판 같은 질감, 민트의 차가운 숨결과 깨끗한 생기, 네틀의 씁쓸한 초록빛과 야생적인 생기가 부드럽게 어우러져 향의 표정을 만듭니다. 비즈왁스는 그 표정을 한층 섬세하게 다듬습니다.

향이 무겁게 남지 않아 가까운 실내에서도 부담이 적습니다. 산뜻한 시작 뒤에 은근한 잔향이 남는 타입입니다.

레이어링을 할 때는 라벤더나 세이지 계열을 더하면 허브의 결이 안정됩니다. 앰버를 아주 적게 더하면 저녁에도 어색하지 않은 온기가 생깁니다."
56379,Pansy,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.56379.webp,"바람이 잘 통하는 공간처럼 가볍게 시작해 피부 위에서는 차분한 청결감으로 남는 향수입니다. 로즈마리와 오렌지 블로섬의 인상이 중심에 있고, 주변으로 밝은 시트러스, 산뜻한 스파이스가 은근하게 번집니다.

로즈마리와 오렌지 블로섬이 먼저 향의 표정을 열고, 플로럴 노트, 갈바넘 쪽으로 질감이 이어집니다. 마지막에는 랍다넘이 잔향을 부드럽게 붙잡습니다.

향이 무겁게 남지 않아 가까운 실내에서도 부담이 적습니다. 산뜻한 시작 뒤에 은근한 잔향이 남는 타입입니다.

레이어링을 할 때는 그린 티, 네롤리, 자몽이 잘 맞습니다. 허브의 쓴맛이 밝아지고 전체 인상이 더 투명하게 열립니다."
59340,Avocado Co-Wash,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.59340.webp,"막 씻은 셔츠처럼 깨끗하게 열리지만, 단순한 산뜻함에 머물지 않는 향수입니다. 베르가못과 올리바넘의 인상이 중심에 있고, 주변으로 산뜻한 스파이스, 낮은 앰버빛이 은근하게 번집니다.

베르가못과 올리바넘이 먼저 향의 표정을 열고, 인센스 쪽으로 질감이 이어집니다. 재료가 따로 튀기보다 하나의 분위기로 부드럽게 이어집니다.

더운 날에는 시원하게, 선선한 날에는 단정한 허브감으로 느껴집니다. 깨끗한 인상을 빠르게 만들고 싶을 때 잘 맞습니다.

레이어링을 할 때는 라벤더나 세이지 계열을 더하면 허브의 결이 안정됩니다. 앰버를 아주 적게 더하면 저녁에도 어색하지 않은 온기가 생깁니다."
17621,Devil's Night Cap,Lush,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.17621.webp,"나무를 숲처럼 크게 그리기보다 피부 가까이의 결감과 잔향으로 보여주는 향수입니다. 마른 나무결, 이끼의 그림자, 흙내음의 깊이 대비가 선명하지만, 전체 분위기는 피부 위에서 부드럽게 정리됩니다.

오크모스의 숲 바닥 같은 축축한 깊이, 오크 트리의 단단하고 마른 깊이, 클라리 세이지의 맑은 허브감과 부드러운 씁쓸함이 부드럽게 어우러져 향의 표정을 만듭니다. 일랑일랑은 그 표정을 한층 섬세하게 다듬습니다.

일상적인 옷차림에도 쉽게 스며들지만, 단정한 재킷이나 셔츠에서 더 선명하게 느껴집니다. 향이 차분해서 가까운 공간에서도 과하지 않습니다.

레이어링을 할 때는 화이트 머스크가 목재감을 깨끗하게 정리합니다. 베티버를 더하면 더 건조하고 세련된 인상으로 기울어집니다."
25529,Wood Sage & Sea Salt,Jo Malone London,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.25529.webp,"허브와 시트러스가 공기를 밝히고, 초록빛 재료가 향의 윤곽을 또렷하게 잡아주는 향수입니다. 원문이 떠올리게 하는 분위기는 젖은 공기와 깨끗한 피부 사이의 투명한 여백에 가깝습니다. 실제 착향에서는 허브의 숨결, 마른 소금기 방향으로 차분하게 풀립니다.

Sea Salt에서는 섬세한 질감과 은한 표정이 느껴집니다. 세이지에서는 건조한 허브감과 깨끗한 씁쓸함이 더해집니다. 자몽은 향의 안쪽을 채우며 전체 인상을 입체적으로 만듭니다. 여기에 앰브레트가 스치면서 잔향에 섬세한 굴곡이 생깁니다.

매일 쓰기 쉬운 청결감이 있지만, 허브와 나무결 덕분에 평면적으로 느껴지지 않습니다. 출근길부터 가벼운 저녁 자리까지 폭이 넓습니다.

레이어링을 할 때는 그린 티, 네롤리, 자몽이 잘 맞습니다. 허브의 쓴맛이 밝아지고 전체 인상이 더 투명하게 열립니다."
10314,English Pear & Freesia,Jo Malone London,W,https://fimgs.net/mdimg/perfume-thumbs/375x500.10314.webp,"꽃을 장식처럼 얹기보다, 꽃잎의 결감과 온도를 가까이 가져오는 향수입니다. 원문이 떠올리게 하는 분위기는 차가운 가을 공기와 따뜻한 컵 사이의 대비에 가깝습니다. 실제 착향에서는 꽃잎의 볼륨, 맑은 과즙감 방향으로 차분하게 풀립니다.

배와 멜론이 먼저 향의 표정을 열고, 머스크, Rhuburb 쪽으로 질감이 이어집니다. 마지막에는 앰버가 잔향을 부드럽게 붙잡습니다.

꽃향이 필요 이상으로 꾸며지지 않아 일상적인 옷차림에도 잘 스며듭니다. 가까운 거리에서 꽃잎의 질감이 더 섬세하게 느껴집니다.

레이어링을 할 때는 샌달우드가 꽃의 질감을 더 크리미하게 만들어 줍니다. 시트러스 코롱을 곁들이면 전체 인상이 한층 맑아집니다."
42027,Myrrh & Tonka,Jo Malone London,U,https://fimgs.net/mdimg/perfume-thumbs/375x500.42027.webp,"낮은 조명 아래 데워진 수지와 향신료가 천천히 번지는 향수입니다. 라벤더와 몰약의 인상이 중심에 있고, 주변으로 바닐라의 온기, 둥근 단맛가 은근하게 번집니다.

라벤더와 몰약이 먼저 향의 표정을 열고, 통카빈, 바닐라 쪽으로 질감이 이어집니다. 마지막에는 아몬드가 잔향을 부드럽게 붙잡습니다.

차가운 공기와 특히 잘 맞으며, 니트나 울 코트 위에서 따뜻한 깊이가 살아납니다. 달콤함보다 온도와 잔향을 즐기는 향수입니다.

레이어링을 할 때는 화이트 머스크가 잔향을 깨끗하게 다듬습니다. 패출리나 베티버를 더하면 달콤함이 줄고 깊이가 또렷해집니다."
15134,Blackberry & Bay,Jo Malone London,W,https://fimgs.net/mdimg/perfume-thumbs/375x500.15134.webp,"허브와 시트러스가 공기를 밝히고, 초록빛 재료가 향의 윤곽을 또렷하게 잡아주는 향수입니다. 블랙베리, Bay Leaf, 자몽에서 출발해 맑은 과즙감, 산뜻한 스파이스, 허브의 숨결 사이를 자연스럽게 오갑니다.

블랙베리의 짙은 과즙과 보랏빛 그림자, Bay Leaf의 섬세한 질감과 은한 표정, 시더의 마른 연필심 같은 단정한 나무결이 부드럽게 어우러져 향의 표정을 만듭니다. 베티버는 그 표정을 한층 섬세하게 다듬습니다.

매일 쓰기 쉬운 청결감이 있지만, 허브와 나무결 덕분에 평면적으로 느껴지지 않습니다. 출근길부터 가벼운 저녁 자리까지 폭이 넓습니다.

레이어링을 할 때는 그린 티, 네롤리, 자몽이 잘 맞습니다. 허브의 쓴맛이 밝아지고 전체 인상이 더 투명하게 열립니다."
18767,Peony & Blush Suede,Jo Malone London,W,https://fimgs.net/mdimg/perfume-thumbs/375x500.18767.webp,"꽃의 색을 선명하게 보여주면서도 과한 장식감 없이 부드러운 곡선을 남기는 향수입니다. Red Apple와 피오니의 인상이 중심에 있고, 주변으로 장미의 결, 깨끗한 공기감이 은근하게 번집니다.

Red Apple에서는 섬세한 질감과 은한 표정이 느껴집니다. 피오니에서는 맑고 촉촉한 꽃잎의 볼륨이 더해집니다. 재스민은 향의 안쪽을 채우며 전체 인상을 입체적으로 만듭니다. 여기에 카네이션이 스치면서 잔향에 섬세한 굴곡이 생깁니다.

셔츠, 실크 블라우스, 단정한 니트처럼 질감이 있는 옷차림과 잘 어울립니다. 향이 직선적으로 튀기보다 둥근 곡선을 남깁니다.

레이어링을 할 때는 화이트 머스크가 꽃의 윤곽을 깨끗하게 정리합니다. 베르가못이나 그린 티를 더하면 꽃잎 사이에 밝은 공기가 생깁니다."
